FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489a,Maritime,Avé,Avé 1,Assahoun,Bedikpe,Barrage de Bedikpe,Retenue d'eau,{irrigation},0.9482204498126403,6.490591313169211,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489b,Maritime,Avé,Avé 1,Assahoun,Assahoun,Nsp,Barrage paysan,{autre},0.9419793171538798,6.476154275071763,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489c,Maritime,Avé,Avé 1,Assahoun,Assahoun,Barrage Base 57,Retenue d'eau,{elevage},0.910898679256502,6.470388579280851,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489d,Maritime,Avé,Avé 1,Assahoun,Assahoun,Base 57,Retenue d'eau,{elevage},0.9110868254071475,6.470109015476732,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489e,Maritime,Avé,Avé 1,Assahoun,Assahoun,Base 57,Retenue d'eau,{elevage},0.9112120066298166,6.470400184354656,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_489f,Maritime,Avé,Avé 1,Assahoun,Assahoun,Barrage Base 57,Retenue d'eau,{elevage},0.9113716978543333,6.470519468499118,maritime,ave,assahoun,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a0,Maritime,Avé,Avé 1,Ando,Ando Kpoomey,Barrage Ando Kpomey,Barrage paysan,"{eau potable,elevage}",0.8431815090733474,6.5249615782797665,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a1,Maritime,Avé,Avé 1,Tovégan,Tivie,N/a,Barrage paysan,"{irrigation,elevage}",0.9081938108075636,6.573581863317801,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a2,Maritime,Avé,Avé 1,Tovégan,Tovegan,Barrage Goudassi,Bassins de retentions d eau,{eau potable},0.8611568374834453,6.6192648039452715,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a3,Maritime,Avé,Avé 1,Tovégan,Bolou Kope,Barrage de Nyamessiva Et Bolou Kope,Retenue d'eau,{eau potable},0.8425918560483185,6.580328811341015,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a4,Maritime,Avé,Avé 1,Tovégan,Wotinou,Barrage Wotinou,Barrage paysan,{eau potable},0.8844991471649061,6.5501773407423345,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a5,Maritime,Avé,Avé 1,Tovégan,Atti Tomefa,Nsp,Retenue d'eau,{autre},0.8479902806850357,6.562522214817803,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a6,Maritime,Avé,Avé 1,Tovégan,Atti-avedzeta,Barrage D'atti-avedzeta,Barrage paysan,{eau potable},0.8745652462604195,6.542071680910976,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a7,Maritime,Avé,Avé 1,Tovégan,Adzakpa,N/a,Retenue d'eau,{autre},0.7751158067169056,6.553600995906892,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a8,Maritime,Avé,Avé 1,Tovégan,Kounte-cope,N/a,Retenue d'eau,{irrigation},0.7752073726241874,6.553295962089449,maritime,ave,tovegan,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48a9,Maritime,Avé,Avé 1,Ando,Akaglakope,Nsp,Retenue d'eau,{autre},0.8757713174701446,6.503796852301008,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48aa,Maritime,Avé,Avé 1,Ando,Gadocope,Aguessi,Retenue d'eau,{irrigation},0.7573481744724844,6.497203726468152,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ab,Maritime,Avé,Avé 1,Ando,Andocope,Nsp,Retenue d'eau,{autre},0.761683638185111,6.496314460396234,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ac,Maritime,Avé,Avé 1,Ando,Assahoun,Barrage Atti Akakpe,Barrage paysan,"{eau potable,irrigation}",0.892332297756999,6.504886308128897,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ad,Maritime,Avé,Avé 1,Zolo,Todome,Barrage de Todomé,Mare artificielle,{autre},0.9542009360640314,6.375653592103222,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ae,Maritime,Avé,Avé 1,Ando,Assahoun,Barrage Atti Akakpe,Barrage paysan,{irrigation},0.8892437042301384,6.503154969608921,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48af,Maritime,Avé,Avé 1,Ando,Ando,Barrage Ando,Barrage paysan,{eau potable},0.8863467883521933,6.426985430126012,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b0,Maritime,Avé,Avé 1,Edzi,Ando Wokpla,Nsp,Citerne,"{eau potable,elevage}",0.8687506833397453,6.41983576063842,maritime,ave,edzi,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b1,Maritime,Avé,Avé 1,Edzi,Ando Wokpla,N/a,Barrage paysan,{autre},0.8711231040715083,6.421791154830507,maritime,ave,edzi,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b2,Maritime,Avé,Avé 1,Ando,Ekpocope,Nsp,Retenue d'eau,{autre},0.7860707829882401,6.540553415923545,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b3,Maritime,Avé,Avé 1,Ando,Adzakpa,N/a,Retenue d'eau,{autre},0.770980036362839,6.55223117387196,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b4,Maritime,Avé,Avé 1,Ando,Ekpo-kopé,Barrage Bagniab,Barrage paysan,"{eau potable,elevage,irrigation}",0.7829362800840938,6.543401895300341,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b5,Maritime,Avé,Avé 1,Zolo,Dzolo,Bagage de Dzolo,Barrage paysan,{autre},0.9033461907884869,6.372181143979578,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b6,Maritime,Avé,Avé 1,Zolo,Keve,Barrage de Keve,Retenue d'eau,{autre},0.9512764605902675,6.408723672643187,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b7,Maritime,Avé,Avé 1,Zolo,Tsiviepe,Nsp,Citerne,{autre},0.9054857954366455,6.412281561737517,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b8,Maritime,Avé,Avé 1,Zolo,Sanvikope,Barrage Amaïzo,Retenue d'eau,{eau potable},0.9620389418305499,6.364215763402544,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48b9,Maritime,Avé,Avé 1,Zolo,Tsiviepe,Nsp,Retenue d'eau,{eau potable},0.9080343629228144,6.4054765669199405,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ba,Maritime,Avé,Avé 1,Zolo,Todome,Nsp,Mare artificielle,{elevage},0.9485008325069161,6.381259757527124,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48bb,Maritime,Avé,Avé 1,Zolo,Sanvikope,Sanvi,Retenue d'eau,{eau potable},0.9636418023732913,6.3680147724237175,maritime,ave,zolo,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48bc,Maritime,Avé,Avé 2,Noépé,Bagbe,Barrage Jeunesse En Mission,Retenue d'eau,"{irrigation,elevage}",1.0183563246128124,6.3179428817805015,maritime,ave,noepe,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48bd,Maritime,Avé,Avé 2,Noépé,Bagbé,Nsp,Retenue d'eau,"{elevage,autre}",1.0080986159060563,6.330441320305625,maritime,ave,noepe,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48be,Maritime,Avé,Avé 2,Noépé,Bagbé,N/a,Retenue d'eau,{eau potable},1.0170678703804186,6.312102411877974,maritime,ave,noepe,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48bf,Maritime,Avé,Avé 2,Badja,Tivie,N/a,Retenue d'eau,{autre},1.0301712696809868,6.367351941890401,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c0,Maritime,Avé,Avé 2,Badja,Bagbé,Nsp,Barrage paysan,{autre},1.0012830215294324,6.339180169711484,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c1,Maritime,Avé,Avé 2,Badja,Bagbé,Nsp,Mare artificielle,{autre},1.0033694728074998,6.33529718124666,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48c2,Maritime,Avé,Avé 2,Badja,Bagbé,Nsp,Autre,{autre},1.0064994882969214,6.336891350535096,maritime,ave,badja,retenues_eau,ave
